Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsion,Total,Anio
2004-06-01,0.0,45451.1,335267.91,0.0,0.0,0.0,0.0,225673.464047619,776.0,164782.5,318811.5,0.0,55658.6,0.0,0.0,67864.5,60590.0,0.0,0.0,560393.48,161297.0,1996566.05404762,2004
2004-07-01,0.0,29127.74,320546.15,0.0,0.0,0.0,0.0,243064.072857143,1725.0,182642.41,346413.66,0.0,68394.8,0.0,0.0,68343.0,39999.0,0.0,0.0,583098.546,176388.0,2059742.37885714,2004
2004-08-01,0.0,30990.92,333848.59,0.0,0.0,0.0,0.0,236324.768095238,759.0,207432.8,390304.28,0.0,62772.7,0.0,0.0,64845.0,40389.0,0.0,0.0,699610.8,184302.0,2251579.85809524,2004
2004-09-01,0.0,24259.26,376693.43,0.0,0.0,0.0,0.0,225204.180238095,1418.0,194240.55,364689.84,0.0,53387.8,0.0,0.0,0.0,26770.0,0.0,0.0,612639.57,174244.0,2053546.6302381,2004
2004-10-01,0.0,18477.29,323360.76,0.0,0.0,0.0,0.0,229626.058333333,1886.0,200323.53,380441.55,0.0,59383.3,0.0,0.0,130845.0,40583.0,0.0,0.0,619084.79,171384.0,2175395.27833333,2004
2004-11-01,0.0,18502.2,328267.45,0.0,0.0,0.0,0.0,225593.823095238,1435.0,214509.65,378498.6,0.0,56250.2,0.0,0.0,69437.5,37413.09,0.0,0.0,705298.16,158324.0,2193529.67309524,2004
2004-12-01,0.0,14061.36,289338.8,0.0,0.0,0.0,0.0,241915.005238095,1419.0,236733.03,429109.1,0.0,63695.8,0.0,0.0,79546.5,43894.0,0.0,0.0,761864.3,180450.0,2342026.8952381,2004
2005-01-01,0.0,17015.36,260522.63,0.0,48943.2,0.0,0.0,227154.969761905,1497.0,209901.6,321382.14,0.0,10015.1,0.0,0.0,98428.0,31108.09,0.0,0.0,724692.36,148655.0,2099315.4497619,2005
2005-02-01,0.0,29448.99,280847.96,0.0,39285.8,0.0,0.0,211814.375952381,1705.0,198775.61,375768.83,0.0,9557.4,0.0,0.0,64718.5,43384.28,0.0,0.0,717116.77,152244.0,2124667.51595238,2005
2005-03-01,0.0,38075.98,404657.12,0.0,48358.6,0.0,0.0,224387.028333333,1282.0,231358.58,410241.928,0.0,9416.3,0.0,0.0,92735.5,32149.0,0.0,0.0,802139.58,168846.0,2463647.61633333,2005
2005-04-01,0.0,40602.97,387064.14,0.0,39340.9,0.0,0.0,218555.206428571,917.0,225644.89,389737.16,0.0,5506.2,0.0,0.0,131785.5,47388.0,0.0,0.0,803996.93,182433.0,2472971.89642857,2005
2005-05-01,0.0,40536.6,506432.44,0.0,36827.2,0.0,0.0,230568.152380952,1335.0,187048.26,343762.52,0.0,6820.9,0.0,0.0,129277.5,55515.0,0.0,0.0,715360.44,167907.0,2421391.01238095,2005
2005-06-01,0.0,39064.02,562186.3,0.0,44188.1,0.0,0.0,223151.25952381,1412.0,202161.79,351906.82,0.0,8013.7,0.0,0.0,69657.5,55190.0,0.0,0.0,681743.36,166798.0,2405472.84952381,2005
2005-07-01,0.0,34049.77,334178.36,0.0,50690.5,0.0,0.0,236140.078571429,1678.0,213821.77,389172.65,0.0,5335.4,0.0,0.0,64702.0,50986.0,0.0,0.0,678614.47,122064.0,2181432.99857143,2005
2005-08-01,0.0,29237.36,305370.13,0.0,47309.3,0.0,0.0,242734.74047619,1106.0,212696.38,396871.12,0.0,8509.9,0.0,0.0,86713.0,61600.0,0.0,0.0,693681.13,158944.0,2244773.06047619,2005
2005-09-01,0.0,26273.57,238571.81,0.0,40131.2,0.0,0.0,223283.869047619,1309.0,196776.87,378887.62,0.0,5904.7,0.0,0.0,87345.5,11689.0,0.0,0.0,666258.37,103761.0,1980192.50904762,2005
2005-10-01,0.0,5405.34,230464.4,0.0,49322.5,0.0,0.0,213139.580952381,996.0,192270.24,328052.56,0.0,7862.9,0.0,0.0,84210.5,7770.0,0.0,0.0,589830.24,91025.0,1800349.26095238,2005
2005-11-01,0.0,13712.31,302297.6,0.0,23955.9,0.0,0.0,222988.526190476,1624.0,185251.12,360869.14,0.0,7266.3,0.0,0.0,77429.0,35384.0,0.0,0.0,701255.47,183012.0,2115045.36619048,2005
2005-12-01,0.0,25971.31,285933.09,0.0,50005.0,0.0,0.0,225410.429047619,1457.0,241035.13,448688.52,0.0,8298.3,0.0,0.0,99434.5,51257.0,0.0,0.0,775027.2,163364.0,2375881.47904762,2005
