Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado petroleo,Gasolina aviacion,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petroleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsion,Petroleo reconstituido,Total,Anio
2007-08-01,0.0,9273.0,741692.2,0.0,0.0,0.0,0.0,309647.071428571,476.0,351306.27,501840.27,0.0,82558.6,0.0,0.0,0.0,0.0,0.0,0.0,824047.47,0.0,0.0,0.0,2820840.88142857,2007
2007-09-01,0.0,11535.7,425995.94,0.0,0.0,0.0,0.0,183484.880952381,2784.0,181015.83,336120.81,0.0,68630.1,0.0,0.0,167480.5,0.0,0.0,0.0,497008.84,0.0,0.0,0.0,1874056.60095238,2007
2007-10-01,0.0,9690.1,422763.8,0.0,0.0,0.0,0.0,486194.880952381,190.0,312120.18,376377.75,0.0,77376.5,0.0,0.0,0.0,0.0,0.0,0.0,885924.86,0.0,0.0,0.0,2570638.07095238,2007
2007-11-01,0.0,10134.1,92054.55,0.0,0.0,0.0,0.0,148627.357142857,2229.0,289282.55,512550.51,0.0,53092.1,0.0,0.0,0.0,0.0,0.0,0.0,665114.83,0.0,0.0,0.0,1773084.99714286,2007
2007-12-01,0.0,9846.0,585035.81,0.0,0.0,0.0,0.0,371098.404761905,95.0,222108.35,542916.97,0.0,58973.5,0.0,0.0,311674.0,0.0,0.0,0.0,812776.59,0.0,0.0,0.0,2914524.6247619,2007
2008-01-01,0.0,7227.0,357826.0,0.0,0.0,0.0,0.0,522670.523819524,2726.2,107885.65,204788.3,0.0,55618.1,0.0,0.0,0.0,0.0,0.0,0.0,613819.33,0.0,0.0,0.0,1872561.10381952,2008
2008-02-01,0.0,3575.0,596066.54,0.0,0.0,0.0,0.0,126941.215285714,2442.5,234830.1,545139.83,0.0,63895.1,0.0,0.0,0.0,0.0,0.0,0.0,500922.23,0.0,0.0,0.0,2073812.51528571,2008
2008-03-01,0.0,10375.2,280414.7,0.0,0.0,0.0,0.0,321294.762904762,95.2,241800.33,405713.48,0.0,73114.4,0.0,0.0,146640.065,0.0,0.0,0.0,1095743.35,0.0,0.0,0.0,2575191.48790476,2008
2008-04-01,0.0,11902.8,644339.91,0.0,0.0,0.0,0.0,296531.952380952,285.7,271554.27,570256.98,0.0,61215.0,0.0,0.0,149627.39,0.0,0.0,0.0,682042.07,0.0,0.0,0.0,2687756.07238095,2008
2008-05-01,0.0,17890.0,848575.95,0.0,0.0,0.0,0.0,506589.785714286,3093.2,242628.16,424954.88,0.0,64572.9,0.0,0.0,150762.095,0.0,0.0,0.0,710464.76,0.0,0.0,0.0,2969531.73071429,2008
